StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2024-09-07T00:00:00Z,APXMIDP,07-09-2024,3,74.58,833
2024-09-06T23:30:00Z,APXMIDP,07-09-2024,2,78.95,909.65
2024-09-06T23:00:00Z,APXMIDP,07-09-2024,1,80.79,1278.7
2024-09-06T22:30:00Z,APXMIDP,06-09-2024,48,84.03,1061.35
2024-09-06T22:00:00Z,APXMIDP,06-09-2024,47,86.05,1249.35
2024-09-06T21:30:00Z,APXMIDP,06-09-2024,46,84.6,2385.3
2024-09-06T21:00:00Z,APXMIDP,06-09-2024,45,82.96,2256.85
2024-09-06T20:30:00Z,APXMIDP,06-09-2024,44,84.26,2316.95
2024-09-06T20:00:00Z,APXMIDP,06-09-2024,43,95.82,2397.15
2024-09-06T19:30:00Z,APXMIDP,06-09-2024,42,88.22,2916.1
2024-09-06T19:00:00Z,APXMIDP,06-09-2024,41,96.88,2916.2
2024-09-06T18:30:00Z,APXMIDP,06-09-2024,40,110.41,2884.05
2024-09-06T18:00:00Z,APXMIDP,06-09-2024,39,110.38,2740.4
2024-09-06T17:30:00Z,APXMIDP,06-09-2024,38,108.61,2538.2
2024-09-06T17:00:00Z,APXMIDP,06-09-2024,37,107.63,2659.4
2024-09-06T16:30:00Z,APXMIDP,06-09-2024,36,104.71,2719.6
2024-09-06T16:00:00Z,APXMIDP,06-09-2024,35,94.01,2367.85
2024-09-06T15:30:00Z,APXMIDP,06-09-2024,34,93.03,2953.2
2024-09-06T15:00:00Z,APXMIDP,06-09-2024,33,94.45,3175
2024-09-06T14:30:00Z,APXMIDP,06-09-2024,32,86.17,3307.1
2024-09-06T14:00:00Z,APXMIDP,06-09-2024,31,84.49,3188.65
2024-09-06T13:30:00Z,APXMIDP,06-09-2024,30,80.55,3220.35
2024-09-06T13:00:00Z,APXMIDP,06-09-2024,29,79.15,3804.85
2024-09-06T12:30:00Z,APXMIDP,06-09-2024,28,78.35,3617.4
2024-09-06T12:00:00Z,APXMIDP,06-09-2024,27,82.13,3678.4
2024-09-06T11:30:00Z,APXMIDP,06-09-2024,26,83.43,3715.4
2024-09-06T11:00:00Z,APXMIDP,06-09-2024,25,85.96,3129.45
2024-09-06T10:30:00Z,APXMIDP,06-09-2024,24,92.37,3245.75
2024-09-06T10:00:00Z,APXMIDP,06-09-2024,23,96.62,3167.75
2024-09-06T09:30:00Z,APXMIDP,06-09-2024,22,100.2,3875.65
2024-09-06T09:00:00Z,APXMIDP,06-09-2024,21,101.3,3950.7
2024-09-06T08:30:00Z,APXMIDP,06-09-2024,20,103.07,3756.2
2024-09-06T08:00:00Z,APXMIDP,06-09-2024,19,102.35,3487.05
2024-09-06T07:30:00Z,APXMIDP,06-09-2024,18,99.99,2953.95
2024-09-06T07:00:00Z,APXMIDP,06-09-2024,17,97.79,2773
2024-09-06T06:30:00Z,APXMIDP,06-09-2024,16,101.16,3187.4
2024-09-06T06:00:00Z,APXMIDP,06-09-2024,15,93.75,3094.45
2024-09-06T05:30:00Z,APXMIDP,06-09-2024,14,92.86,2491.4
2024-09-06T05:00:00Z,APXMIDP,06-09-2024,13,91.47,2364.6
2024-09-06T04:30:00Z,APXMIDP,06-09-2024,12,85.8,2426.8
